TP,FN,FP,TN,Accuracy,Precision,Recall,F1_score
0.8562164306640625,0.03167724609375,0.0041961669921875,0.10791015625,0.9641265869140625,0.9951230758317372,0.9643231538606953,0.9794810476797263
0.5836029052734375,0.14324951171875,0.0013275146484375,0.271820068359375,0.8554229736328125,0.9977304742526217,0.8029180224624751,0.8897858530400493
0.76702880859375,0.0170745849609375,0.003936767578125,0.2119598388671875,0.9789886474609375,0.994893718085738,0.9782240644520988,0.9864884754643666
0.9129180908203125,0.00555419921875,0.005279541015625,0.0762481689453125,0.989166259765625,0.9942501038637308,0.9939527852075822,0.9941014223049316
0.6643829345703125,0.039459228515625,0.0050811767578125,0.29107666015625,0.9554595947265625,0.9924100834207047,0.9439373902486613,0.967567027033033
0.6339263916015625,0.0861968994140625,0.013031005859375,0.266845703125,0.9007720947265625,0.9798580155192339,0.880302580836547,0.9274162043909681
0.68536376953125,0.0590667724609375,0.002532958984375,0.2530364990234375,0.9384002685546875,0.9963178208597666,0.9206550925451452,0.9569932565596736
0.6358642578125,0.0984954833984375,0.0029754638671875,0.262664794921875,0.898529052734375,0.9953423937707502,0.8658757038668523,0.9261061848567682
0.5869293212890625,0.108245849609375,0.0001983642578125,0.30462646484375,0.8915557861328125,0.9996621446021103,0.8442898219890691,0.9154301081666409
0.7387237548828125,0.0107574462890625,0.014739990234375,0.23577880859375,0.9745025634765625,0.9804370278863485,0.9856468097235229,0.9830350162949125
0.7481842041015625,0.0310211181640625,0.0074005126953125,0.2133941650390625,0.961578369140625,0.9902055818086353,0.9601887753103826,0.9749661974071423
