TP,FN,FP,TN,Accuracy,Precision,Recall,F1_score
0.8462066650390625,0.0478668212890625,0.0142059326171875,0.0917205810546875,0.93792724609375,0.9834893949067177,0.946462095095061,0.9646205493033693
0.575286865234375,0.163543701171875,0.0096435546875,0.25152587890625,0.826812744140625,0.983513330202953,0.7786451879388683,0.8691702976231643
0.76617431640625,0.064117431640625,0.004791259765625,0.1649169921875,0.93109130859375,0.9937853778252781,0.9227772264490756,0.9569658852677722
0.9045257568359375,0.008148193359375,0.013671875,0.0736541748046875,0.978179931640625,0.9851100955546324,0.991072174945246,0.9880821415474881
0.654998779296875,0.09063720703125,0.01446533203125,0.239898681640625,0.8948974609375,0.9783926699184027,0.8784430892645193,0.9257278412766875
0.628875732421875,0.143463134765625,0.0180816650390625,0.2095794677734375,0.8384552001953125,0.972051227623293,0.8142484589853011,0.8861796484437995
0.682403564453125,0.1165618896484375,0.0054931640625,0.1955413818359375,0.8779449462890625,0.9920145512621446,0.8541089742365501,0.9179109838572292
0.6315460205078125,0.188690185546875,0.007293701171875,0.1724700927734375,0.80401611328125,0.9885828934483005,0.7699562831364524,0.865679446152559
0.583892822265625,0.2149200439453125,0.00323486328125,0.1979522705078125,0.7818450927734375,0.9944903581267218,0.7309506981719547,0.8425943256008545
0.73907470703125,0.0597686767578125,0.0143890380859375,0.186767578125,0.92584228515625,0.9809028129366735,0.9251809829427158,0.9522274210671174
0.7481842041015625,0.0310211181640625,0.0074005126953125,0.2133941650390625,0.961578369140625,0.9902055818086353,0.9601887753103826,0.9749661974071423
