TP,FN,FP,TN,Accuracy,Precision,Recall,F1_score
0.8563385009765625,0.03302001953125,0.0040740966796875,0.1065673828125,0.9629058837890625,0.9952649499893594,0.96287209402076,0.9788005895023241
0.5834808349609375,0.1470184326171875,0.0014495849609375,0.2680511474609375,0.851531982421875,0.9975217822298743,0.7987425324810962,0.8871334446919079
0.7676239013671875,0.01788330078125,0.0033416748046875,0.211151123046875,0.9787750244140625,0.995665597909987,0.9772334349929097,0.9863634135581589
0.9127349853515625,0.0055999755859375,0.005462646484375,0.076202392578125,0.9889373779296875,0.9940506855006231,0.9939020337631264,0.9939763540740618
0.663055419921875,0.0383148193359375,0.00640869140625,0.2922210693359375,0.9552764892578125,0.9904271322423303,0.9453714782987055,0.9673749707810639
0.6339263916015625,0.091796875,0.013031005859375,0.2612457275390625,0.895172119140625,0.9798580155192339,0.8735098084565085,0.9236327256558471
0.6851043701171875,0.0593414306640625,0.0027923583984375,0.2527618408203125,0.9378662109375,0.9959407302249235,0.9202877756825449,0.9566208586342815
0.635833740234375,0.1014556884765625,0.0030059814453125,0.25970458984375,0.895538330078125,0.9952946234504503,0.8623936753657981,0.9240902135586455
0.5870208740234375,0.110107421875,0.0001068115234375,0.302764892578125,0.8897857666015625,0.9998180778626747,0.8420557270120603,0.9141804788213628
0.741058349609375,0.01068115234375,0.0124053955078125,0.2358551025390625,0.9769134521484375,0.9835355110472063,0.985791418016482,0.9846621724365148
0.7481842041015625,0.0310211181640625,0.0074005126953125,0.2133941650390625,0.961578369140625,0.9902055818086353,0.9601887753103826,0.9749661974071423
